SDG Goal,SDG Goal Name,Indicator Code,Metric Name,Geography,Level,Year,Value,Unit,Source,Projected?
1,No Poverty,SDG1.1.3.5,Social protection benefits - Janani Suraksha Yojana (JSY),Wardha,District,2024,82.7,%,MahaSDB,no
1,No Poverty,SDG1.1.3.5,Social protection benefits - Pradhan Mantri Matrutva Vandana Yojana (PMMVY),Wardha,District,2018,99.82,%,MahaSDB,no
1,No Poverty,SDG1.1.3.5,Social protection benefits - Pradhan Mantri Matrutva Vandana Yojana (PMMVY),Wardha,District,2019,99.97,%,MahaSDB,no
1,No Poverty,SDG1.1.3.5,Social protection benefits - Pradhan Mantri Matrutva Vandana Yojana (PMMVY),Wardha,District,2020,99.96,%,MahaSDB,no
1,No Poverty,SDG1.1.3.5,Social protection benefits - Pradhan Mantri Matrutva Vandana Yojana (PMMVY),Wardha,District,2021,99.73,%,MahaSDB,no
1,No Poverty,SDG1.1.3.5,Social protection benefits - Pradhan Mantri Matrutva Vandana Yojana (PMMVY),Wardha,District,2022,99.88,%,MahaSDB,no
1,No Poverty,SDG1.1.3.5,Social protection benefits - Pradhan Mantri Matrutva Vandana Yojana (PMMVY),Wardha,District,2023,99.36,%,MahaSDB,no
1,No Poverty,SDG1.1.3.5,Social protection benefits - Pradhan Mantri Matrutva Vandana Yojana (PMMVY),Wardha,District,2024,98.75,%,MahaSDB,no
1,No Poverty,SDG1.1.4.8,Total Ration Cards (lakh),Arvi,Taluka,2024,0.406,Lakh,SER,no
1,No Poverty,SDG1.1.4.8,Total Ration Cards (lakh),Wardha,Taluka,2024,0.747,Lakh,SER,no
1,No Poverty,SDG1.1.3.4,Total SHGs Formed,Arvi,Taluka,2024,"2,314.00",Number,SER,no
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having Common Services Centres,Wardha,District,2025,100,%,Projection,YES
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having Common Services Centres,Wardha,District,2029,100,%,Projection,YES
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having Common Services Centres,Wardha,District,2037,100,%,Projection,YES
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having Common Services Centres,Wardha,District,2047,100,%,Projection,YES
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having Common Services Centres,Wardha,District,2060,100,%,Projection,YES
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having internet connections,Wardha,District,2025,77.949,%,Projection,YES
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having internet connections,Wardha,District,2029,78.22,%,Projection,YES
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having internet connections,Wardha,District,2037,78.761,%,Projection,YES
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having internet connections,Wardha,District,2047,79.438,%,Projection,YES
1,No Poverty,SDG1.1.4.7,% of Gram Panchayats having internet connections,Wardha,District,2060,80.318,%,Projection,YES
1,No Poverty,SDG1.1.4.1,% of population getting safe and adequate drinking water within premises,Wardha,District,2025,80.044,%,Projection,YES
1,No Poverty,SDG1.1.4.1,% of population getting safe and adequate drinking water within premises,Wardha,District,2029,94.793,%,Projection,YES
1,No Poverty,SDG1.1.4.1,% of population getting safe and adequate drinking water within premises,Wardha,District,2037,99.734,%,Projection,YES
1,No Poverty,SDG1.1.4.1,% of population getting safe and adequate drinking water within premises,Wardha,District,2047,99.994,%,Projection,YES
1,No Poverty,SDG1.1.4.1,% of population getting safe and adequate drinking water within premises,Wardha,District,2060,100,%,Projection,YES
1,No Poverty,SDG1.1.3.6,Beneficiaries - Atal Pension Scheme,Wardha,District,2025,"84,645.00",Number,Projection,YES
1,No Poverty,SDG1.1.3.6,Beneficiaries - Atal Pension Scheme,Wardha,District,2029,"144,214.20",Number,Projection,YES
1,No Poverty,SDG1.1.3.6,Beneficiaries - Atal Pension Scheme,Wardha,District,2037,"263,352.60",Number,Projection,YES
1,No Poverty,SDG1.1.3.6,Beneficiaries - Atal Pension Scheme,Wardha,District,2047,"412,275.60",Number,Projection,YES
